name,area,cluster,type,capacity,starting_rate_php,price_public,rate_notes,website,facebook,sources
"Shangri-La Boracay","Boracay Island (Punta Bunga), Malay, Aklan","beach_destination","beach_resort",,"260150","true","From PHP 260,150+++ for first 50 guests (Sunbird outdoor wedding package), requires guaranteed 10 guestrooms x 2 nights; current official package as mirrored by Great Destination Weddings listing (accessed 2026). Official 2021 package PDF showed 30-guest set-menu receptions from PHP 230,000+++ (low season) to PHP 380,000+++ (peak). +++ = excludes 12% VAT, 10% service charge, local tax.","https://www.shangri-la.com/boracay/boracayresort/",,"https://www.greatdestinationweddings.com.au/directory/listings/shangri-la-boracay/ https://www.shangri-la.com/boracay/boracayresort/weddings-celebrations/packages/ https://sitecore-cd.shangri-la.com/-/media/Shangri-La/boracay_boracayresort/settings/weddings-celebrations/421fa788b0d74f84966923b45b5be4a1.pdf https://www.nuptials.ph/small-intimate-wedding-venues/ https://www.nuptials.ph/luxury-wedding-venues-philippines/"
"Shangri-La Mactan, Cebu","Mactan Island, Lapu-Lapu City, Cebu","beach_destination","beach_resort","600","75000","true","Official 'A Vow of Always' 2025-2026 packages PDF: intimate ceremony (25 guests and below) PHP 75,000; standard ceremony (Ocean Pavilion/outdoor) PHP 125,000; intimate indoor reception PHP 85,000 for first 10 guests + PHP 5,000/pax; reception menus from PHP 4,050/pax. Rates +10% service charge and taxes, valid until Dec 31, 2026. Largest venue (The Marquee) seats 600 banquet.","https://www.shangri-la.com/cebu/mactanresort/","https://www.facebook.com/ShangrilaMactan","https://sitecore-cd.shangri-la.com/-/media/Shangri-La/cebu_mactanresort/weddings-celebrations/A-Vow-of-Always-by-Shangri-La-Mactan-_-Wedding-Packages-2025-2026.pdf https://www.shangri-la.com/cebu/mactanresort/weddings-celebrations/wedding-packages/"
"South Palms Resort Panglao","Panglao Island, Bohol","beach_destination","beach_resort",,"25000","true","Spot.ph roundup (2019): ceremony-only packages from PHP 25,000; reception/catering priced separately. Ceremony-only figure - full wedding cost is substantially higher; no newer public rate found.","https://www.southpalmsresort.com",,"https://www.spot.ph/things-to-do/weekend-guides/77744/beach-destination-weddings-philippines-a3242-20190504-lfrm"
"The Bellevue Resort Bohol","Panglao Island, Bohol","beach_destination","beach_resort",,"350000","true","PHP 350,000 for 100-guest package (buffet, 4-hr venue use, welcome drinks, one beverage round, bottle of Moet & Chandon); tiers to PHP 380,000/400,000 with extra offerings. Published rates are from a 2014 Female Network Bridal Book supplier feature - dated; no newer public rate found.","https://www.thebellevuebohol.com",,"https://www.femalenetwork.com/bridalbook/articles/wedding-packages-from-the-bellevue-resort-bohol-bbsupplier"
"Thunderbird Resorts Poro Point","Poro Point, San Fernando City, La Union","beach_destination","beach_resort","350","345000","true","Premium Wedding Package at PHP 6,900 nett/person, minimum 50 guests (= PHP 345,000 minimum, computed) incl. 4-hr venue (Patio Santorini/poolside/beach club), buffet, 3-tier cake, flowers, styling, string quartet, 2-night suite stay - Female Network Bridal Book supplier feature (undated, ~2015-2017). Agora Events Hall holds ~350; Olives Garden seats 250 banquet.","https://www.thunderbird-asia.com/poro-point-la-union-hotel/",,"https://www.femalenetwork.com/bridalbook/articles/thunderbird-poro-point-wedding-packages-bbsupplier https://brideandbreakfast.ph/2016/09/01/venue-review-thunderbird-resorts-and-casinos-poro-point/"
"Aloha Hotel","Malate, Manila, Metro Manila","blog_sweep","hotel","100","80400","true","Gold package for 100 guests: 3-hr venue, accommodation for 2, cake, florals, styling, sound system; Diamond P100,200. 2020 rates.",,,"https://www.nuptials.ph/affordable-wedding-venues-in-the-philippines/"
"Balay Indang","Indang, Cavite","blog_sweep","garden/bed & breakfast","200","20000","true","Venue hall rental only, 200 pax lunch slot; in-house catering P1,000/head lunch or P1,200/head dinner, +10% service charge; outside catering allowed. Nov 2024 rates.",,,"https://tagaytaydreamweddings.com/affordable-tagaytay-wedding-reception-venues/"
"Bale de Angeles","San Fernando, Pampanga","blog_sweep","events place","200","15000","true","Function hall with in-house catering (150+ guests); P20,000 venue-only 4 hrs / 200 pax; garden ceremony P7,000 for 2 hrs. 2019 rates.",,,"https://www.nuptials.ph/affordable-wedding-venues-in-the-philippines/"
"Bantug Lake Ranch","Bacolod, Negros Occidental","blog_sweep","ranch/garden","300","11250","true","Minimum spend for 25 pax; 200 indoor / 300 outdoor capacity. Jan 2024 article.",,,"https://www.nuptials.ph/small-intimate-wedding-venues/"
"Bayview Park Hotel Manila","Ermita, Manila, Metro Manila","blog_sweep","hotel","50","81888","true","Civil Wedding Package for 50 guests: 4-hr function room, styling, catering, overnight stay for 2, bridal car, cake, drinks; Classic package P91,700-99,200. 2020 rates.",,,"https://www.nuptials.ph/affordable-wedding-venues-in-the-philippines/"
"Casa Alegria Bed & Breakfast","Tagaytay area, Cavite","blog_sweep","bed & breakfast","150","75000","true","Wedding package incl. overnight stay and basic amenities, up to 150 guests. 2025 rates (article Jun 2025).",,,"https://www.nuptials.ph/wedding-venue-ideas-on-a-budget/"
"Chateau de Busay","Cebu City, Cebu","blog_sweep","garden/events place","400","75000","true","Package for 100 pax minimum; up to 400 pax capacity. Jan 2024 article.",,,"https://www.nuptials.ph/small-intimate-wedding-venues/"
"Circa 1900","Cebu City, Cebu","blog_sweep","heritage house/restaurant","120","20000","true","Plated service package for 20 pax minimum. Jan 2024 article.",,,"https://www.nuptials.ph/small-intimate-wedding-venues/"
"Dakak Park & Beach Resort","Dapitan, Zamboanga del Norte","blog_sweep","beach resort",,"37500","true","Minimum package for 25-49 pax. Jan 2024 article.",,,"https://www.nuptials.ph/small-intimate-wedding-venues/"
"Elements at Eton Centris","Quezon City, Metro Manila","blog_sweep","events place","700","54000","true","Venue rental only, 4 hrs weekday in lean months; up to P196,000 for 10 hrs both halls in December. 2022 rates.",,,"https://www.nuptials.ph/affordable-wedding-venues-in-quezon-city/"
"Felicidad Mansion Events Place","Quezon City, Metro Manila","blog_sweep","events place","300","8000","true","Venue-only smallest room (rooms range P8,000-110,000, 3-6 hrs, 30-300 guests); packages from P174,000. 2022 rates.",,,"https://www.nuptials.ph/affordable-wedding-venues-in-quezon-city/"
"Feliza Jazz Grand Pavilion","Malolos, Bulacan","blog_sweep","events place",,"11500","true","Venue rental per 6-hr slot (Fleur De Liz Garden weekday); pavilion up to P18,000 weekend; setup/AC/bond fees extra. ~2019 rates, author flagged as likely higher now.",,,"https://www.nuptials.ph/affordable-wedding-venues-in-the-philippines/"
"Hacienda Solange","Alfonso, Cavite (Tagaytay area)","blog_sweep","garden/hacienda",,"108888","true","Prime Wedding Package min 50 guests: venue, catering, overnight stay for 15, ceremony+reception setup, flowers, emcee, styling, drinks (2020). Moneymax (2023) lists P298,888 all-in package for 100 guests incl. officiant, catering, photo/video, coordination.",,,"https://www.nuptials.ph/affordable-wedding-venues-in-the-philippines/ https://www.moneymax.ph/personal-finance/articles/cost-of-wedding-philippines"
"La Chandelle Events Place","Quezon City, Metro Manila","blog_sweep","events place",,"30000","true","Weekday promo venue rate; P107,000 special package for 100 guests. 2022 rates (Aug-Nov 2022 promo).",,,"https://www.nuptials.ph/affordable-wedding-venues-in-quezon-city/"
"Leanel's Garden","Tagaytay, Cavite","blog_sweep","garden","150","75000","true","Venue-only for 150 pax; standard packages with food+styling P189,000-269,000, semi all-in P323,000-408,000 (50-150 pax). Nov 2024 rates.",,,"https://tagaytaydreamweddings.com/affordable-tagaytay-wedding-reception-venues/"
"Lemuria Gourmet Restaurant","Quezon City, Metro Manila","blog_sweep","restaurant","80","15000","true","Consumable minimum for 3 hrs (P15,000-55,000 by area, 8-80 guests). 2022 rates.",,,"https://www.nuptials.ph/affordable-wedding-venues-in-quezon-city/"
"Lola Cafe","Quezon City, Metro Manila","blog_sweep","restaurant",,"35000","true","Venue rental P35,000-60,000 depending on area/time slot. 2025 rates (article Jun 2025).",,,"https://www.nuptials.ph/wedding-venue-ideas-on-a-budget/"
"Mithi Resort and Spa","Panglao, Bohol","blog_sweep","resort","100","145000","true","Wedding package min 50 pax: styling, bridal car, 2-layer fondant cake, complimentary couple accommodation. Jan 2024 article.",,,"https://www.nuptials.ph/small-intimate-wedding-venues/"
"Ninyo Fusion Cuisine & Wine Lounge","Quezon City, Metro Manila","blog_sweep","restaurant",,"24000","true","Intimate wedding package for 15 guests, 7-course degustation menu. 2025 rates (article Jun 2025).",,,"https://www.nuptials.ph/wedding-venue-ideas-on-a-budget/"
"Radisson Blu Cebu","Cebu City, Cebu","blog_sweep","hotel",,"2500","true","PER-HEAD buffet wedding package rate (article illustrates ~P250,000 for 100 guests). 2025 rates.",,,"https://cebudailynews.inquirer.net/640846/planning-a-wedding-in-cebu-heres-how-much-itll-cost-you-in-2025"
"Salome's Garden","Davao City, Davao del Sur","blog_sweep","garden","300","25000","true","Plated service package for 20 pax; up to 300 pax capacity. Jan 2024 article.",,,"https://www.nuptials.ph/small-intimate-wedding-venues/"
"Serenescapes Bed and Breakfast","Alfonso, Cavite","blog_sweep","bed & breakfast",,"94000","true","'Relax' base package; tiers up to P272,000 (Relax, Celebrate & Unwind). Published rates valid Dec 2024-Nov 2025.",,,"https://tagaytaydreamweddings.com/affordable-tagaytay-wedding-reception-venues/"
"The Emerald Events Place","Antipolo, Rizal","blog_sweep","events place",,"25000","true","Packages P25,000-60,000, inclusions vary. 2025 rates (article Jun 2025).",,,"https://www.nuptials.ph/wedding-venue-ideas-on-a-budget/"
"The Mango Farm Events Place","Antipolo, Rizal","blog_sweep","garden/farm","200","70000","true","Venue rental from P70,000, catering packages separate (2025). Earlier published package: P99,500 +12% VAT for up to 200 pax, AC glass pavilion or alfresco (2020-2021 rates).",,,"https://www.nuptials.ph/wedding-venue-ideas-on-a-budget/ https://www.nuptials.ph/small-intimate-wedding-venues/"
"The Sulo Riviera Hotel","Quezon City, Metro Manila","blog_sweep","hotel",,"50000","true","Function room venue rental P50,000-90,000. 2025 rates (article Jun 2025).",,,"https://www.nuptials.ph/wedding-venue-ideas-on-a-budget/"
"The View","Davao City, Davao del Sur","blog_sweep","events place","400","50000","true","Package for 50 pax; up to 400 pax capacity. Jan 2024 article.",,,"https://www.nuptials.ph/small-intimate-wedding-venues/"
"Conrad Manila","Pasay (Mall of Asia Complex), Metro Manila","metro_manila","hotel",,"315000","true","Published 2026 'Divine Wedding Package' brochure: set menus from ₱3,150/person nett (inclusive of 12% VAT, 10% service charge, LGU tax), priced for the first 100 persons — i.e. ≈₱315,000 minimum for 100 guests (derived: 3,150 x 100). Buffet menus from ₱3,360/person. Includes 2-night suite stay, bridal car, cake, photo booth, string trio. Rate published 2025/2026; hotel has also advertised an all-in intimate package at ₱6,000/person for up to 30 guests.","https://www.hilton.com/en/hotels/mnlcici-conrad-manila/","https://www.facebook.com/ConradManilaPH","https://www.yumpu.com/en/document/view/70910814/conrad-manila-2026-divine-wedding-package https://www.facebook.com/ConradManilaPH/posts/our-elegant-wedding-packages-express-dynamic-modern-and-traditional-predilection/1116218131877525/"
"EDSA Shangri-La, Manila","Mandaluyong (Ortigas), Metro Manila","metro_manila","hotel","700",,"false","No public number found. Hotel publishes Signature Wedding packages (Elegance, Glamour, Indulgence, Extravaganza; 3 ballrooms up to 700 guests) on a minimum-event-spend model (20% due at signing), but the 2023 'Breathe In Love' brochure PDF is image-only and pricing pages carry no figures. Checked 2026.","https://www.shangri-la.com/manila/edsashangrila/",,"https://www.shangri-la.com/manila/edsashangrila/weddings-celebrations/ https://www.shangri-la.com/-/media/Shangri-La/manila_edsashangrila/meetings-events/offers/20221105_2023-Breathe-In-Love-Wedding-Packages.pdf https://elitetraveler.com/travel/travel-news/signature-weddings-at-edsa-shangri-la-manila"
"Fernwood Gardens","Quezon City (Sanville, Culiat), Metro Manila","metro_manila","garden","550","90000","true","Venue promo 'starting at ₱90,000' for Aug–Nov 2022 events (venue-only; garden with sky dome, 200–550 pax) — published in nuptials.ph Quezon City roundup, August 2022. Regular/current rates are quote-on-inquiry; older public rates date to 2008–2011.","http://fernwoodgarden.com",,"https://www.nuptials.ph/affordable-wedding-venues-in-quezon-city/ http://fernwoodgarden.com/ https://juancarlo.ph/venues/fernwood-quezon-city/"
"Gazebo Royale","Quezon City (Visayas Ave area), Metro Manila","metro_manila","events_place","1000",,"false","No verifiable published number. Three halls (Bamboo Grove 60 / Phoenix Hall 280 / Champagne Hall up to 1,000 pax) with built-in stage, sound and bridal suite; nuptials.ph (2022) lists it as prices-upon-request, and third-party figures found were inconsistent/unattributable. Checked 2026.",,"https://www.facebook.com/GazeboRoyaleSpecialEventsVenue/","https://www.nuptials.ph/affordable-wedding-venues-in-quezon-city/ https://www.facebook.com/GazeboRoyaleSpecialEventsVenue/ https://www.brideworthy.com/venues/gazebo-royale/"
"Glass Garden","Pasig, Metro Manila","metro_manila","garden","350","161000","true","Wedding package ₱161,000–₱217,000 covering 5-hour use of Emerald or Diamond Garden, buffet catering, and event styling; all-in 'Comprehensive' package ₱248,500–₱305,000 — per Female Network Bridal Book supplier feature (undated, believed mid-2010s; treat as indicative). A 2025 venue rate sheet circulates publicly on Scribd ('Glass Garden Venue Rates 2025') but its figures are image-locked. Air-conditioned glass-walled garden venue, ~100–350 pax.","https://www.glassgardenevents.com",,"https://www.femalenetwork.com/bridalbook/articles/wedding-packages-from-the-glass-garden-bbsupplier https://www.scribd.com/document/825804545/25-01-01-2025-Glass-Garden-Wedding-Package https://www.glassgardenevents.com"
"Light of Love Events Place","Quezon City (Santol, Sampaloc border), Metro Manila","metro_manila","garden","400","76000","true","₱76,000–₱250,000 for 4-hour venue use, 100–350 pax, plus ₱95/head corkage for non-accredited caterers — published in a 2018 venue-rates blog roundup (dated; venue's own 2024 site lists packages without prices, quote-on-inquiry). Two-hectare garden venue, up to 400 guests.","https://lightoflove.com.ph",,"http://weddingpreps101.blogspot.com/2018/05/wedding-venue-rates-packages-2018.html https://lightoflove.com.ph/wedding-packages/"
"Manila Marriott Hotel","Pasay (Newport World Resorts), Metro Manila","metro_manila","hotel",,,"false","No published PHP rate found; Marriott's Philippines wedding pages route to inquiry with certified wedding planners, and the ballroom package PDFs surfacing in search belong to Singapore Marriott (USD/GST), not Manila. Checked 2026.","https://www.marriott.com/en-us/hotels/mnlap-manila-marriott-hotel-at-newport-world-resorts/",,"https://www.marriott.com/en-us/hotels/mnlap-manila-marriott-hotel-at-newport-world-resorts/events/ https://www.marriott.com/en-us/offers/packages/Philippines-Wedding.mi"
"Oasis Manila","San Juan (Aurora Blvd), Metro Manila","metro_manila","events_place","400","55000","true","Venue-only rental ₱55,000–₱90,000 for 4–5 hours (weeknight; Orchard 200 / Verandah 350 / Pavilion 400 pax; ₱30,000 corkage for non-accredited caterers) per 2018 rates roundup; weeknight packages with accredited caterer from ₱219,500 for 150 pax per undated directory listings. Dated figures — verify before quoting.","https://oasismanila.squarespace.com","https://www.facebook.com/TheOasisManila/","http://weddingpreps101.blogspot.com/2018/05/wedding-venue-rates-packages-2018.html https://www.brideworthy.com/venues/oasis-manila/"
"Okada Manila","Parañaque (Entertainment City), Metro Manila","metro_manila","hotel","1200",,"false","No published number found. Official events pages list Grand Ballroom (up to ~1,200 guests, 1,955 sqm), Golden Ballroom (300 pax) and Glass Ballroom (200 pax) with all rental fees 'available upon request'; only unverifiable social-media figures (e.g. ~₱7k/plate) circulate. Checked 2026.","https://okadamanila.com",,"https://okadamanila.com/events/occasions/weddings/ https://okadamanila.com/events/venues/grand-ballroom/ https://www.brideworthy.com/venues/okada-manila/"
"Palacio de Maynila","Malate, Manila (Roxas Blvd), Metro Manila","metro_manila","events_place","650","254240","true","Package 1: ₱254,240 for 150 pax (VAT-inclusive; venue, buffet, 2-night hotel stay for two, sounds and lights, 3-hour photo booth); ₱305,760/200 pax; ₱383,040/300 pax — per Female Network Bridal Book feature (undated, believed mid-2010s; treat as indicative). Venue's own site (2017 copyright) lists the same inclusions without prices. 800-sqm venue, 400–650 pax.","https://www.palaciodemaynila.com","https://www.facebook.com/Palacio-de-Maynila-153276305244504","https://www.femalenetwork.com/bridalbook/articles/reception-packages-from-palacio-de-maynila https://www.palaciodemaynila.com/?page=wedpackage1 https://juancarlo.ph/venues/palacio-de-maynila/"
"Plaza Ibarra (Ibarra's Party Venues)","Quezon City (Timog Ave), Metro Manila","metro_manila","events_place",,"30000","true","Venue-only rental: ₱30,000 off-season Sun–Thu, ₱60,000 Fri–Sat and peak season (Dec–Jan) — published in nuptials.ph affordable-venues roundup, February 2020. Ibarra's full wedding packages (venue + catering across its QC/Manila venues) advertised at ₱165,000–₱260,000 per moneymax/nuptials citations of the same era.","https://www.ibarraspartyvenues.com.ph",,"https://www.nuptials.ph/affordable-wedding-venues-in-the-philippines/ https://www.ibarraspartyvenues.com.ph/ https://www.moneymax.ph/personal-finance/articles/cost-of-wedding-philippines"
"The Blue Leaf Cosmopolitan","Quezon City (Robinsons Bridgetowne), Metro Manila","metro_manila","events_place","330","225000","true","₱225,000 per hall venue-only (5 hours, with AC, LCD projector, stage, caterer's area); wedding packages with catering from ₱620,000 for 200 pax — published in nuptials.ph Quezon City roundup, August 2022. Three 530-sqm halls (Monet, Picasso, Matisse), 330 guests each.","https://www.theblueleaf.com",,"https://www.nuptials.ph/affordable-wedding-venues-in-quezon-city/ https://www.theblueleaf.com"
"The Blue Leaf Events Pavilion","Taguig (McKinley Hill), Metro Manila","metro_manila","events_place","500","480000","true","₱480,000–₱735,000 for 150 guests including venue, accredited catering, and basic wedding essentials, per nuptials.ph luxury-venues roundup published April 2024. Three halls (Banyan 300 / Silk 250 / Jade 200 pax; ~500 combined). Older venue-only rental: ₱130k–150k per hall (2013).","https://www.theblueleaf.com/events-pavilion/",,"https://www.nuptials.ph/luxury-wedding-venues-philippines/ https://www.theblueleaf.com/events-pavilion/ https://brideandbreakfast.ph/2021/09/11/the-blue-leaf-2021-special-rates/"
"The Manila Hotel","Manila, Metro Manila","metro_manila","hotel","1000",,"false","No published number found. Hotel markets all-inclusive wedding packages (Fiesta Pavilion seats up to 1,000; divisible into 3 rooms) but all pricing is quote-on-inquiry via its Banquet Sales Team; a Feb 2025 Wedding Essentials feature also carries no rates. Checked 2026.","https://www.manila-hotel.com.ph",,"https://www.manila-hotel.com.ph/events/weddings/ https://www.manila-hotel.com.ph/function-rooms/fiesta-pavilion/ https://weddingessentials.mb.com.ph/2025/02/22/a-grand-setting-for-unforgettable-weddings-at-the-manila-hotel/"
"Whitespace Manila","Makati (Chino Roces Ext), Metro Manila","metro_manila","events_place","450","35000","true","Venue-only rental: ₱35,000 for the lobby (~60 guests) up to ₱175,000 for the entire building (Lobby + Halls A&B, ~450 guests); bare industrial space, no corkage for outside suppliers — published in nuptials.ph luxury-venues roundup, April 2024.",,,"https://www.nuptials.ph/luxury-wedding-venues-philippines/"
"Alta Veranda de Tibig","Silang, Cavite","tagaytay","events_place","350","158000","true","El Pabelion de Jardin package starts PHP 158,000 (150–350 pax); Plaza Guevarra from PHP 208,000 (up to 250 pax); includes overnight stay for two, prep rooms, basic lights/sound, bridal car — published June 2024 (PEP.ph/Cosmo.ph after Charlie Dizon–Carlo Aquino wedding)",,"https://www.facebook.com/AltaVerandadeTibig/","https://www.pep.ph/lifestyle/lifestyle/181183/charlie-dizon-carlo-aquino-wedding-venue-a721-20240610 https://www.cosmo.ph/lifestyle/travel/alta-veranda-de-tibig-silang-cavite-details-photos-rates-a254-20240611"
"Anya Resort Tagaytay","Tagaytay City, Cavite","tagaytay","hotel","120","385000","true","Official wedding packages PDF dated 8.8.2018: Cosmos PHP 385,000 (reception, 100 pax buffet, suite stays), Lily PHP 395,000, Iris PHP 455,000 — dated source, current rates by inquiry; Nilaya Ballroom max ~120 pax","https://www.anyaresorts.com/meetings-weddings-events/",,"https://www.anyaresorts.com/wp-content/uploads/2019/01/Wedding_Packages-8.8.18.pdf https://www.brideworthy.com/venues/anya-resort-tagaytay/"
"Aquila Crystal Palace","Tagaytay City, Cavite","tagaytay","events_place","200",,"false","No stable published rate; social-media promos (TikTok/FB, 2024–2025) cite conflicting all-in figures for 100 pax (~PHP 198k vs 298k), and the Juan Carlo venue page lists inclusions (6-hr aircon venue, styling, garden ceremony) with no price — treated as inquiry-only",,"https://www.facebook.com/AquilaCrystalPalace/","https://juancarlo.ph/venues/aquila-crystal-palace-tagaytay/ https://www.facebook.com/AquilaCrystalPalaceEventPlace/"
"Balai Taal","Tagaytay City, Cavite (Ligaya Drive, Brgy. Sungay)","tagaytay","garden","200","102000","true","From a circulated package sheet (Scribd, c.2019): Package D PHP 102,000 (120 pax, 1 garden + house overnight) up to Package A PHP 238,000 (200 pax, 2 gardens + 2 nights accommodations) — likely outdated; no current rates on 2024 roundup or Juan Carlo page",,,"https://www.scribd.com/document/413772556/Balai-Taal-Packages https://tagaytaydreamweddings.com/scenic-lake-view-venues/ https://juancarlo.ph/venues/balai-taal/ https://www.nuptials.ph/wedding-venue-ideas-on-a-budget/"
"Escala Tagaytay","Tagaytay City, Cavite","tagaytay","hotel","300",,"false","No published price found; boutique hotel with ~300-seat pavilion and Taal-view balconies (per Juan Carlo/2024 roundup listing 120–300 pax) — inquiry-only",,"https://www.facebook.com/EscalaTagaytay1","https://juancarlo.ph/venues/escala-hotel/ https://tagaytaydreamweddings.com/scenic-lake-view-venues/"
"Farm Hills Garden","Silang, Cavite (Brgy. Ulat)","tagaytay","garden",,,"false","Own site advertises customizable all-in packages but publishes no numbers; TikTok clips (2025) cite a ~PHP 298k all-in package, unverifiable against any stable public source — inquiry-only","https://farmhillsgarden.com/",,"https://farmhillsgarden.com/weddings-events/ https://farmhillsgarden.com/cpt-weddings/all-in-packages/ https://www.brideworthy.com/venues/farm-hills-garden/"
"Hillcreek Gardens Tagaytay","Alfonso, Cavite","tagaytay","garden","400","150000","true","Venue-only package from PHP 150,000 (max 200 pax); all-inclusive packages ~PHP 318,900 (50 pax) up to ~614,600 — per 2024 roundup; venue's own site lists Premier/Prestige inclusions (venue, lights/sounds, styling, catering, bridal suite) but no prices as of Jan 2026 page","https://www.hillcreekgardenstagaytay.com/",,"https://tagaytaydreamweddings.com/affordable-tagaytay-wedding-reception-venues/ https://www.hillcreekgardenstagaytay.com/news/perfect-packages-for-any-type-of-wedding/ https://www.brideworthy.com/venues/hillcreek-gardens/ https://www.nuptials.ph/wedding-venue-ideas-on-a-budget/"
